prime,cutoff,sample_prefix_standard_deviation_exact
2,50,1.1331725844490292
2,250,0.62978602838350672
2,500,0.48079499548006099
2,1000,0.36571435513836997
2,2000,0.27515012238177278
2,4000,0.20646928980102169
2,8000,0.15422948432249264
5,50,0.64722210251079249
5,250,0.42577459887109809
5,500,0.33105041152928133
5,1000,0.2492019824656154
5,2000,0.188694487072915
5,4000,0.14141056666588031
5,8000,0.10517323998160412
11,50,0.89426815323289766
11,250,0.48789259180029171
11,500,0.35945766568595289
11,1000,0.26566639716939461
11,2000,0.19477870287427643
11,4000,0.14322716950867231
11,8000,0.10473318432698658
101,50,1.0703908437459666
101,250,0.57755508226229957
101,500,0.42037584702870129
101,1000,0.30426580328355257
101,2000,0.21956201422374244
101,4000,0.15794824043021954
101,8000,0.11342863504248116
197,50,0.46780400777833298
197,250,0.26058583030459304
197,500,0.1978702609227839
197,1000,0.14815771278765821
197,2000,0.11034941636178482
197,4000,0.082032488547893953
197,8000,0.060665310632480172
